ano;area
2013;14652900
2013;16458300
2013;17253900
2013;14369400
2013;20826900
2013;17326800
2013;16494300
2013;14525100
2013;14426100
2013;16458300
2013;13967100
2013;19996200
2014;11580300
2014;14062500
2014;14240700
2014;14026500
2014;14369400
2014;14598000
2014;13371300
2014;11626200
2014;12954600
2014;12737700
2014;12384000
2014;19996200
2015;9808200
2015;11849400
2015;12807000
2015;13700700
2015;20826900
2015;20535300
2015;11948400
2015;12458700
2015;11287800
2015;10974600
2015;11058300
2015;11354400
2016;14652900
2016;11544300
2016;11570400
2016;14846400
2016;20826900
2016;14088600
2016;11416500
2016;10174500
2016;17350200
2016;17468100
2016;17908200
2016;16568100
2017;14652900
2017;18446400
2017;18742500
2017;14369400
2017;20826900
2017;20535300
2017;19555200
2017;19307700
2017;17350200
2017;19769400
2017;19938600
2017;20010600
2018;14652900
2018;15808500
2018;15808500
2018;20905200
2018;21513600
2018;21749400
2018;21601800
2018;21411900
2018;21474000
2018;21618000
2018;21416400
2018;21470400
2019;21445200
2019;16458300
2019;15808500
2019;21572100
2019;20826900
2019;24050700
2019;23288400
2019;23516100
2019;24206400
2019;23230800
2019;21157200
2019;20104200
2020;21430800
2020;20826900
2020;20767500
2020;21264300
2020;20826900
2020;21199500
2020;17918100
2020;20758500
2020;20849400
2020;20303100
2020;20066400
2020;19996200
2021;14652900
2021;18543600
2021;21177000
2021;21096000
2021;21123900
2021;21844800
2021;17918100
2021;18916200
2021;19462500
2021;19598400
2021;19203300
2021;19400400
2022;14652900
2022;16859700
2022;19693800
2022;19782000
2022;20217600
2022;20132100
2022;19511100
2022;18916200
2022;17918100
2022;17896500
2022;17363700
