"data","area"
"20130120",14652900
"20130220",16458300
"20130320",17253900
"20130420",14369400
"20130520",20826900
"20130626",17326800
"20130712",16494300
"20130829",14525100
"20130930",14426100
"20131016",16458300
"20131117",13967100
"20131219",19996200
"20140111",11580300
"20140221",14062500
"20140325",14240700
"20140417",14026500
"20140528",14369400
"20140613",14598000
"20140722",13371300
"20140823",11626200
"20140917",12954600
"20141026",12737700
"20141127",12384000
"20141229",19996200
"20150123",9808200
"20150224",11849400
"20150328",12807000
"20150429",13700700
"20150531",20826900
"20150629",20535300
"20150718",11948400
"20150826",12458700
"20150920",11287800
"20151029",10974600
"20151123",11058300
"20151216",11354400
"20160116",14652900
"20160227",11544300
"20160321",11570400
"20160422",14846400
"20160524",20826900
"20160609",14088600
"20160727",11416500
"20160821",10174500
"20160929",17350200
"20161024",17468100
"20161125",17908200
"20161227",16568100
"20170115",14652900
"20170204",18446400
"20170308",18742500
"20170409",14369400
"20170511",20826900
"20170628",20535300
"20170723",19555200
"20170831",19307700
"20170909",17350200
"20171027",19769400
"20171119",19938600
"20171205",20010600
"20180121",14652900
"20180216",15808500
"20180314",15808500
"20180428",20905200
"20180507",21513600
"20180615",21749400
"20180701",21601800
"20180811",21411900
"20180919",21474000
"20181021",21618000
"20181122",21416400
"20181217",21470400
"20190109",21445200
"20190201",16458300
"20190314",15808500
"20190408",21572100
"20190503",20826900
"20190627",24050700
"20190729",23288400
"20190814",23516100
"20190922",24206400
"20191017",23230800
"20191118",21157200
"20191211",20104200
"20200105",21430800
"20200206",20826900
"20200325",20767500
"20200417",21264300
"20200503",20826900
"20200613",21199500
"20200724",17918100
"20200823",20758500
"20200924",20849400
"20201010",20303100
"20201127",20066400
"20201222",19996200
"20210116",14652900
"20210224",18543600
"20210328",21177000
"20210429",21096000
"20210506",21123900
"20210623",21844800
"20210710",17918100
"20210827",18916200
"20210927",19462500
"20211022",19598400
"20211123",19203300
"20211225",19400400
"20220117",14652900
"20220227",16859700
"20220331",19693800
"20220423",19782000
"20220518",20217600
"20220603",20132100
"20220721",19511100
"20220813",18916200
"20220907",17918100
"20221009",17896500
"20221110",17363700
